Running file ../bin/StealthyNumbers
../bin/StealthyNumbers
Solution: n:312  a:13  b:24  c:12  d:26
Solution: n:264  a:12  b:22  c:11  d:24
Solution: n:252  a:14  b:18  c:12  d:21
Solution: n:240  a:15  b:16  c:12  d:20
Solution: n:220  a:11  b:20  c:10  d:22
Solution: n:180  a:12  b:15  c:10  d:18
Solution: n:144  a:12  b:12  c:9  d:16
Solution: n:120  a:10  b:12  c:8  d:15
Solution: n:112  a:8  b:14  c:7  d:16
Solution: n:84  a:7  b:12  c:6  d:14
Solution: n:72  a:8  b:9  c:6  d:12
Solution: n:60  a:6  b:10  c:5  d:12
Solution: n:40  a:5  b:8  c:4  d:10
Solution: n:36  a:6  b:6  c:4  d:9
Solution: n:24  a:4  b:6  c:3  d:8
Solution: n:12  a:3  b:4  c:2  d:6
lib_test1(10000) => 143

==========
Solution: n:8100  a:100  b:81  c:90  d:90
Solution: n:7600  a:100  b:76  c:95  d:80
Solution: n:7600  a:100  b:76  c:80  d:95
Solution: n:7200  a:100  b:72  c:96  d:75
Solution: n:7200  a:100  b:72  c:75  d:96
Solution: n:4900  a:100  b:49  c:98  d:50
Solution: n:4900  a:100  b:49  c:50  d:98
Solution: n:7920  a:99  b:80  c:90  d:88
Solution: n:7920  a:99  b:80  c:88  d:90
Solution: n:6336  a:99  b:64  c:96  d:66
Solution: n:6336  a:99  b:64  c:66  d:96
Solution: n:7644  a:98  b:78  c:91  d:84
Solution: n:7644  a:98  b:78  c:84  d:91
Solution: n:4704  a:98  b:48  c:96  d:49
Solution: n:4704  a:98  b:48  c:49  d:96
Solution: n:7392  a:96  b:77  c:88  d:84
Solution: n:7392  a:96  b:77  c:84  d:88
Solution: n:7200  a:96  b:75  c:90  d:80
Solution: n:7200  a:96  b:75  c:80  d:90
Solution: n:6624  a:96  b:69  c:92  d:72
Solution: n:6624  a:96  b:69  c:72  d:92
Solution: n:5952  a:96  b:62  c:93  d:64
Solution: n:5952  a:96  b:62  c:64  d:93
Solution: n:4512  a:96  b:47  c:94  d:48
Solution: n:4512  a:96  b:47  c:48  d:94
Solution: n:6840  a:95  b:72  c:90  d:76
Solution: n:6840  a:95  b:72  c:76  d:90
Solution: n:4324  a:94  b:46  c:92  d:47
Solution: n:4324  a:94  b:46  c:47  d:92
Solution: n:5580  a:93  b:60  c:90  d:62
Solution: n:5580  a:93  b:60  c:62  d:90
Solution: n:6072  a:92  b:66  c:88  d:69
Solution: n:6072  a:92  b:66  c:69  d:88
Solution: n:4140  a:92  b:45  c:90  d:46
Solution: n:4140  a:92  b:45  c:46  d:90
Solution: n:6552  a:91  b:72  c:84  d:78
Solution: n:6552  a:91  b:72  c:78  d:84
Solution: n:6480  a:90  b:72  c:81  d:80
Solution: n:6480  a:90  b:72  c:80  d:81
Solution: n:6300  a:90  b:70  c:84  d:75
Solution: n:6300  a:90  b:70  c:75  d:84
Solution: n:6120  a:90  b:68  c:85  d:72
Solution: n:6120  a:90  b:68  c:72  d:85
Solution: n:5220  a:90  b:58  c:87  d:60
Solution: n:5220  a:90  b:58  c:60  d:87
Solution: n:3960  a:90  b:44  c:88  d:45
Solution: n:3960  a:90  b:44  c:45  d:88
Solution: n:6160  a:88  b:70  c:80  d:77
Solution: n:6160  a:88  b:70  c:77  d:80
Solution: n:5544  a:88  b:63  c:84  d:66
Solution: n:5544  a:88  b:63  c:66  d:84
Solution: n:3784  a:88  b:43  c:86  d:44
Solution: n:3784  a:88  b:43  c:44  d:86
Solution: n:4872  a:87  b:56  c:84  d:58
Solution: n:4872  a:87  b:56  c:58  d:84
Solution: n:3612  a:86  b:42  c:84  d:43
Solution: n:3612  a:86  b:42  c:43  d:84
Solution: n:5440  a:85  b:64  c:80  d:68
Solution: n:5440  a:85  b:64  c:68  d:80
Solution: n:5544  a:84  b:66  c:77  d:72
Solution: n:5544  a:84  b:66  c:72  d:77
Solution: n:5460  a:84  b:65  c:78  d:70
Solution: n:5460  a:84  b:65  c:70  d:78
Solution: n:5040  a:84  b:60  c:80  d:63
Solution: n:5040  a:84  b:60  c:63  d:80
Solution: n:4536  a:84  b:54  c:81  d:56
Solution: n:4536  a:84  b:54  c:56  d:81
Solution: n:3444  a:84  b:41  c:82  d:42
Solution: n:3444  a:84  b:41  c:42  d:82
Solution: n:3280  a:82  b:40  c:80  d:41
Solution: n:3280  a:82  b:40  c:41  d:80
Solution: n:8100  a:81  b:100  c:90  d:90
Solution: n:5184  a:81  b:64  c:72  d:72
Solution: n:4212  a:81  b:52  c:78  d:54
Solution: n:4212  a:81  b:52  c:54  d:78
Solution: n:7920  a:80  b:99  c:90  d:88
Solution: n:7920  a:80  b:99  c:88  d:90
Solution: n:5040  a:80  b:63  c:72  d:70
Solution: n:5040  a:80  b:63  c:70  d:72
Solution: n:4800  a:80  b:60  c:75  d:64
Solution: n:4800  a:80  b:60  c:64  d:75
Solution: n:4560  a:80  b:57  c:76  d:60
Solution: n:4560  a:80  b:57  c:60  d:76
Solution: n:3120  a:80  b:39  c:78  d:40
Solution: n:3120  a:80  b:39  c:40  d:78
Solution: n:7644  a:78  b:98  c:91  d:84
Solution: n:7644  a:78  b:98  c:84  d:91
Solution: n:4680  a:78  b:60  c:72  d:65
Solution: n:4680  a:78  b:60  c:65  d:72
Solution: n:3900  a:78  b:50  c:75  d:52
Solution: n:3900  a:78  b:50  c:52  d:75
Solution: n:2964  a:78  b:38  c:76  d:39
Solution: n:2964  a:78  b:38  c:39  d:76
Solution: n:7392  a:77  b:96  c:88  d:84
Solution: n:7392  a:77  b:96  c:84  d:88
Solution: n:4620  a:77  b:60  c:70  d:66
Solution: n:4620  a:77  b:60  c:66  d:70
Solution: n:7600  a:76  b:100  c:95  d:80
Solution: n:7600  a:76  b:100  c:80  d:95
Solution: n:4104  a:76  b:54  c:72  d:57
Solution: n:4104  a:76  b:54  c:57  d:72
Solution: n:2812  a:76  b:37  c:74  d:38
Solution: n:2812  a:76  b:37  c:38  d:74
Solution: n:7200  a:75  b:96  c:90  d:80
Solution: n:7200  a:75  b:96  c:80  d:90
Solution: n:4200  a:75  b:56  c:70  d:60
Solution: n:4200  a:75  b:56  c:60  d:70
Solution: n:3600  a:75  b:48  c:72  d:50
Solution: n:3600  a:75  b:48  c:50  d:72
Solution: n:2664  a:74  b:36  c:72  d:37
Solution: n:2664  a:74  b:36  c:37  d:72
Solution: n:7200  a:72  b:100  c:96  d:75
Solution: n:7200  a:72  b:100  c:75  d:96
Solution: n:6840  a:72  b:95  c:90  d:76
Solution: n:6840  a:72  b:95  c:76  d:90
Solution: n:6552  a:72  b:91  c:84  d:78
Solution: n:6552  a:72  b:91  c:78  d:84
Solution: n:6480  a:72  b:90  c:81  d:80
Solution: n:6480  a:72  b:90  c:80  d:81
Solution: n:4032  a:72  b:56  c:64  d:63
Solution: n:4032  a:72  b:56  c:63  d:64
Solution: n:3960  a:72  b:55  c:66  d:60
Solution: n:3960  a:72  b:55  c:60  d:66
Solution: n:3672  a:72  b:51  c:68  d:54
Solution: n:3672  a:72  b:51  c:54  d:68
Solution: n:3312  a:72  b:46  c:69  d:48
Solution: n:3312  a:72  b:46  c:48  d:69
Solution: n:2520  a:72  b:35  c:70  d:36
Solution: n:2520  a:72  b:35  c:36  d:70
Solution: n:6300  a:70  b:90  c:84  d:75
Solution: n:6300  a:70  b:90  c:75  d:84
Solution: n:6160  a:70  b:88  c:80  d:77
Solution: n:6160  a:70  b:88  c:77  d:80
Solution: n:3780  a:70  b:54  c:63  d:60
Solution: n:3780  a:70  b:54  c:60  d:63
Solution: n:3640  a:70  b:52  c:65  d:56
Solution: n:3640  a:70  b:52  c:56  d:65
Solution: n:2380  a:70  b:34  c:68  d:35
Solution: n:2380  a:70  b:34  c:35  d:68
Solution: n:6624  a:69  b:96  c:92  d:72
Solution: n:6624  a:69  b:96  c:72  d:92
Solution: n:3036  a:69  b:44  c:66  d:46
Solution: n:3036  a:69  b:44  c:46  d:66
Solution: n:6120  a:68  b:90  c:85  d:72
Solution: n:6120  a:68  b:90  c:72  d:85
Solution: n:3264  a:68  b:48  c:64  d:51
Solution: n:3264  a:68  b:48  c:51  d:64
Solution: n:2244  a:68  b:33  c:66  d:34
Solution: n:2244  a:68  b:33  c:34  d:66
Solution: n:6072  a:66  b:92  c:88  d:69
Solution: n:6072  a:66  b:92  c:69  d:88
Solution: n:5544  a:66  b:84  c:77  d:72
Solution: n:5544  a:66  b:84  c:72  d:77
Solution: n:3300  a:66  b:50  c:60  d:55
Solution: n:3300  a:66  b:50  c:55  d:60
Solution: n:2772  a:66  b:42  c:63  d:44
Solution: n:2772  a:66  b:42  c:44  d:63
Solution: n:2112  a:66  b:32  c:64  d:33
Solution: n:2112  a:66  b:32  c:33  d:64
Solution: n:5460  a:65  b:84  c:78  d:70
Solution: n:5460  a:65  b:84  c:70  d:78
Solution: n:3120  a:65  b:48  c:60  d:52
Solution: n:3120  a:65  b:48  c:52  d:60
Solution: n:6336  a:64  b:99  c:96  d:66
Solution: n:6336  a:64  b:99  c:66  d:96
Solution: n:5440  a:64  b:85  c:80  d:68
Solution: n:5440  a:64  b:85  c:68  d:80
Solution: n:5184  a:64  b:81  c:72  d:72
Solution: n:3136  a:64  b:49  c:56  d:56
Solution: n:2880  a:64  b:45  c:60  d:48
Solution: n:2880  a:64  b:45  c:48  d:60
Solution: n:1984  a:64  b:31  c:62  d:32
Solution: n:1984  a:64  b:31  c:32  d:62
Solution: n:5544  a:63  b:88  c:84  d:66
Solution: n:5544  a:63  b:88  c:66  d:84
Solution: n:5040  a:63  b:80  c:72  d:70
Solution: n:5040  a:63  b:80  c:70  d:72
Solution: n:3024  a:63  b:48  c:56  d:54
Solution: n:3024  a:63  b:48  c:54  d:56
Solution: n:2520  a:63  b:40  c:60  d:42
Solution: n:2520  a:63  b:40  c:42  d:60
Solution: n:5952  a:62  b:96  c:93  d:64
Solution: n:5952  a:62  b:96  c:64  d:93
Solution: n:1860  a:62  b:30  c:60  d:31
Solution: n:1860  a:62  b:30  c:31  d:60
Solution: n:5580  a:60  b:93  c:90  d:62
Solution: n:5580  a:60  b:93  c:62  d:90
Solution: n:5040  a:60  b:84  c:80  d:63
Solution: n:5040  a:60  b:84  c:63  d:80
Solution: n:4800  a:60  b:80  c:75  d:64
Solution: n:4800  a:60  b:80  c:64  d:75
Solution: n:4680  a:60  b:78  c:72  d:65
Solution: n:4680  a:60  b:78  c:65  d:72
Solution: n:4620  a:60  b:77  c:70  d:66
Solution: n:4620  a:60  b:77  c:66  d:70
Solution: n:2700  a:60  b:45  c:54  d:50
Solution: n:2700  a:60  b:45  c:50  d:54
Solution: n:2640  a:60  b:44  c:55  d:48
Solution: n:2640  a:60  b:44  c:48  d:55
Solution: n:2520  a:60  b:42  c:56  d:45
Solution: n:2520  a:60  b:42  c:45  d:56
Solution: n:2280  a:60  b:38  c:57  d:40
Solution: n:2280  a:60  b:38  c:40  d:57
Solution: n:1740  a:60  b:29  c:58  d:30
Solution: n:1740  a:60  b:29  c:30  d:58
Solution: n:5220  a:58  b:90  c:87  d:60
Solution: n:5220  a:58  b:90  c:60  d:87
Solution: n:1624  a:58  b:28  c:56  d:29
Solution: n:1624  a:58  b:28  c:29  d:56
Solution: n:4560  a:57  b:80  c:76  d:60
Solution: n:4560  a:57  b:80  c:60  d:76
Solution: n:2052  a:57  b:36  c:54  d:38
Solution: n:2052  a:57  b:36  c:38  d:54
Solution: n:4872  a:56  b:87  c:84  d:58
Solution: n:4872  a:56  b:87  c:58  d:84
Solution: n:4200  a:56  b:75  c:70  d:60
Solution: n:4200  a:56  b:75  c:60  d:70
Solution: n:4032  a:56  b:72  c:64  d:63
Solution: n:4032  a:56  b:72  c:63  d:64
Solution: n:2352  a:56  b:42  c:49  d:48
Solution: n:2352  a:56  b:42  c:48  d:49
Solution: n:2184  a:56  b:39  c:52  d:42
Solution: n:2184  a:56  b:39  c:42  d:52
Solution: n:1512  a:56  b:27  c:54  d:28
Solution: n:1512  a:56  b:27  c:28  d:54
Solution: n:3960  a:55  b:72  c:66  d:60
Solution: n:3960  a:55  b:72  c:60  d:66
Solution: n:2200  a:55  b:40  c:50  d:44
Solution: n:2200  a:55  b:40  c:44  d:50
Solution: n:4536  a:54  b:84  c:81  d:56
Solution: n:4536  a:54  b:84  c:56  d:81
Solution: n:4104  a:54  b:76  c:72  d:57
Solution: n:4104  a:54  b:76  c:57  d:72
Solution: n:3780  a:54  b:70  c:63  d:60
Solution: n:3780  a:54  b:70  c:60  d:63
Solution: n:2160  a:54  b:40  c:48  d:45
Solution: n:2160  a:54  b:40  c:45  d:48
Solution: n:1836  a:54  b:34  c:51  d:36
Solution: n:1836  a:54  b:34  c:36  d:51
Solution: n:1404  a:54  b:26  c:52  d:27
Solution: n:1404  a:54  b:26  c:27  d:52
Solution: n:4212  a:52  b:81  c:78  d:54
Solution: n:4212  a:52  b:81  c:54  d:78
Solution: n:3640  a:52  b:70  c:65  d:56
Solution: n:3640  a:52  b:70  c:56  d:65
Solution: n:1872  a:52  b:36  c:48  d:39
Solution: n:1872  a:52  b:36  c:39  d:48
Solution: n:1300  a:52  b:25  c:50  d:26
Solution: n:1300  a:52  b:25  c:26  d:50
Solution: n:3672  a:51  b:72  c:68  d:54
Solution: n:3672  a:51  b:72  c:54  d:68
Solution: n:1632  a:51  b:32  c:48  d:34
Solution: n:1632  a:51  b:32  c:34  d:48
Solution: n:3900  a:50  b:78  c:75  d:52
Solution: n:3900  a:50  b:78  c:52  d:75
Solution: n:3300  a:50  b:66  c:60  d:55
Solution: n:3300  a:50  b:66  c:55  d:60
Solution: n:1800  a:50  b:36  c:45  d:40
Solution: n:1800  a:50  b:36  c:40  d:45
Solution: n:1200  a:50  b:24  c:48  d:25
Solution: n:1200  a:50  b:24  c:25  d:48
Solution: n:4900  a:49  b:100  c:98  d:50
Solution: n:4900  a:49  b:100  c:50  d:98
Solution: n:3136  a:49  b:64  c:56  d:56
Solution: n:1764  a:49  b:36  c:42  d:42
Solution: n:4704  a:48  b:98  c:96  d:49
Solution: n:4704  a:48  b:98  c:49  d:96
Solution: n:3600  a:48  b:75  c:72  d:50
Solution: n:3600  a:48  b:75  c:50  d:72
Solution: n:3264  a:48  b:68  c:64  d:51
Solution: n:3264  a:48  b:68  c:51  d:64
Solution: n:3120  a:48  b:65  c:60  d:52
Solution: n:3120  a:48  b:65  c:52  d:60
Solution: n:3024  a:48  b:63  c:56  d:54
Solution: n:3024  a:48  b:63  c:54  d:56
Solution: n:1680  a:48  b:35  c:42  d:40
